timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/27 13:18:22.176, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:25.176, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 69 %, 52 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:25.177, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:28.177, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 67 %, 45 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:28.177, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:31.178, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 52 %, 35 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:31.178, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:34.178, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 84 %, 45 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:34.178, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:37.179, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 88 %, 67 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:37.179, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:40.179, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 85 %, 51 %, 16384 MiB, 5699 MiB, 10461 MiB
